seed,frames,mean_reward_10,config
0,1000,9.9,small_buffer
0,2000,10.5,small_buffer
0,3000,16.7,small_buffer
0,4000,79.0,small_buffer
0,5000,137.8,small_buffer
0,6000,197.8,small_buffer
0,7000,239.8,small_buffer
0,8000,222.5,small_buffer
0,9000,252.4,small_buffer
0,10000,278.8,small_buffer
0,11000,288.4,small_buffer
0,12000,309.3,small_buffer
0,13000,349.7,small_buffer
0,14000,381.0,small_buffer
0,15000,373.7,small_buffer
0,16000,262.0,small_buffer
0,17000,240.8,small_buffer
0,18000,251.8,small_buffer
0,19000,307.0,small_buffer
0,20000,302.5,small_buffer
