seed,frames,mean_reward_10,config
0,1000,9.9,base_dqn
0,2000,10.5,base_dqn
0,3000,23.4,base_dqn
0,4000,48.6,base_dqn
0,5000,96.2,base_dqn
0,6000,131.6,base_dqn
0,7000,186.8,base_dqn
0,8000,247.7,base_dqn
0,9000,292.4,base_dqn
0,10000,306.2,base_dqn
0,11000,282.1,base_dqn
0,12000,255.8,base_dqn
0,13000,262.7,base_dqn
0,14000,254.8,base_dqn
0,15000,240.4,base_dqn
0,16000,253.2,base_dqn
0,17000,266.1,base_dqn
0,18000,257.6,base_dqn
0,19000,285.8,base_dqn
0,20000,294.0,base_dqn
1,1000,11.0,base_dqn
1,2000,9.5,base_dqn
1,3000,14.7,base_dqn
1,4000,21.6,base_dqn
1,5000,74.4,base_dqn
1,6000,122.7,base_dqn
1,7000,124.7,base_dqn
1,8000,145.8,base_dqn
1,9000,169.7,base_dqn
1,10000,171.1,base_dqn
1,11000,173.1,base_dqn
1,12000,187.6,base_dqn
1,13000,185.8,base_dqn
1,14000,193.1,base_dqn
1,15000,201.0,base_dqn
1,16000,228.5,base_dqn
1,17000,219.0,base_dqn
1,18000,175.5,base_dqn
1,19000,150.0,base_dqn
1,20000,133.9,base_dqn
2,1000,10.1,base_dqn
2,2000,9.9,base_dqn
2,3000,11.7,base_dqn
2,4000,26.7,base_dqn
2,5000,76.5,base_dqn
2,6000,103.6,base_dqn
2,7000,129.8,base_dqn
2,8000,165.2,base_dqn
2,9000,149.8,base_dqn
2,10000,166.4,base_dqn
2,11000,174.2,base_dqn
2,12000,169.7,base_dqn
2,13000,172.4,base_dqn
2,14000,186.8,base_dqn
2,15000,192.2,base_dqn
2,16000,184.0,base_dqn
2,17000,173.7,base_dqn
2,18000,159.7,base_dqn
2,19000,145.0,base_dqn
2,20000,138.8,base_dqn
3,1000,19.9,base_dqn
3,2000,16.2,base_dqn
3,3000,16.5,base_dqn
3,4000,19.0,base_dqn
3,5000,49.8,base_dqn
3,6000,102.3,base_dqn
3,7000,208.3,base_dqn
3,8000,272.0,base_dqn
3,9000,314.4,base_dqn
3,10000,299.7,base_dqn
3,11000,287.7,base_dqn
3,12000,297.9,base_dqn
3,13000,291.9,base_dqn
3,14000,313.3,base_dqn
3,15000,311.2,base_dqn
3,16000,296.2,base_dqn
3,17000,253.8,base_dqn
3,18000,227.8,base_dqn
3,19000,207.2,base_dqn
3,20000,205.9,base_dqn
4,1000,9.7,base_dqn
4,2000,8.9,base_dqn
4,3000,22.3,base_dqn
4,4000,86.3,base_dqn
4,5000,174.9,base_dqn
4,6000,180.0,base_dqn
4,7000,193.2,base_dqn
4,8000,210.5,base_dqn
4,9000,203.8,base_dqn
4,10000,183.8,base_dqn
4,11000,187.9,base_dqn
4,12000,197.9,base_dqn
4,13000,180.5,base_dqn
4,14000,180.4,base_dqn
4,15000,191.6,base_dqn
4,16000,200.1,base_dqn
4,17000,214.8,base_dqn
4,18000,218.2,base_dqn
4,19000,219.1,base_dqn
4,20000,243.4,base_dqn
