seed,frames,mean_reward_10,config
0,1000,10.3,double_dqn
0,2000,15.8,double_dqn
0,3000,27.8,double_dqn
0,4000,61.9,double_dqn
0,5000,60.0,double_dqn
0,6000,133.5,double_dqn
0,7000,178.6,double_dqn
0,8000,165.9,double_dqn
0,9000,181.5,double_dqn
0,10000,205.0,double_dqn
0,11000,221.7,double_dqn
0,12000,245.8,double_dqn
0,13000,257.8,double_dqn
0,14000,255.6,double_dqn
0,15000,243.7,double_dqn
0,16000,236.1,double_dqn
0,17000,243.9,double_dqn
0,18000,233.0,double_dqn
0,19000,220.6,double_dqn
0,20000,225.1,double_dqn
1,1000,12.0,double_dqn
1,2000,10.3,double_dqn
1,3000,11.1,double_dqn
1,4000,48.5,double_dqn
1,5000,129.1,double_dqn
1,6000,164.8,double_dqn
1,7000,188.8,double_dqn
1,8000,197.8,double_dqn
1,9000,215.6,double_dqn
1,10000,234.2,double_dqn
1,11000,231.4,double_dqn
1,12000,227.8,double_dqn
1,13000,228.0,double_dqn
1,14000,238.9,double_dqn
1,15000,261.6,double_dqn
1,16000,242.6,double_dqn
1,17000,197.3,double_dqn
1,18000,206.4,double_dqn
1,19000,245.2,double_dqn
1,20000,262.9,double_dqn
2,1000,17.1,double_dqn
2,2000,13.0,double_dqn
2,3000,25.2,double_dqn
2,4000,84.7,double_dqn
2,5000,146.8,double_dqn
2,6000,198.7,double_dqn
2,7000,207.0,double_dqn
2,8000,211.6,double_dqn
2,9000,219.8,double_dqn
2,10000,207.8,double_dqn
2,11000,199.6,double_dqn
2,12000,192.7,double_dqn
2,13000,189.5,double_dqn
2,14000,192.4,double_dqn
2,15000,227.0,double_dqn
2,16000,233.4,double_dqn
2,17000,220.6,double_dqn
2,18000,207.5,double_dqn
2,19000,194.4,double_dqn
2,20000,188.6,double_dqn
3,1000,35.3,double_dqn
3,2000,57.2,double_dqn
3,3000,102.8,double_dqn
3,4000,95.0,double_dqn
3,5000,139.2,double_dqn
3,6000,175.1,double_dqn
3,7000,234.4,double_dqn
3,8000,273.2,double_dqn
3,9000,271.2,double_dqn
3,10000,243.6,double_dqn
3,11000,240.2,double_dqn
3,12000,259.6,double_dqn
3,13000,258.5,double_dqn
3,14000,284.9,double_dqn
3,15000,288.0,double_dqn
3,16000,284.1,double_dqn
3,17000,284.2,double_dqn
3,18000,284.2,double_dqn
3,19000,276.9,double_dqn
3,20000,256.9,double_dqn
4,1000,15.1,double_dqn
4,2000,9.9,double_dqn
4,3000,14.5,double_dqn
4,4000,29.7,double_dqn
4,5000,92.7,double_dqn
4,6000,149.8,double_dqn
4,7000,178.0,double_dqn
4,8000,202.3,double_dqn
4,9000,204.1,double_dqn
4,10000,207.0,double_dqn
4,11000,185.8,double_dqn
4,12000,191.9,double_dqn
4,13000,180.3,double_dqn
4,14000,173.7,double_dqn
4,15000,170.6,double_dqn
4,16000,186.6,double_dqn
4,17000,189.2,double_dqn
4,18000,180.4,double_dqn
4,19000,172.1,double_dqn
4,20000,145.4,double_dqn
