seed,frames,mean_reward_10,config
0,1000,10.3,prioritized_replay_double_dqn
0,2000,14.1,prioritized_replay_double_dqn
0,3000,48.1,prioritized_replay_double_dqn
0,4000,74.0,prioritized_replay_double_dqn
0,5000,90.4,prioritized_replay_double_dqn
0,6000,160.1,prioritized_replay_double_dqn
0,7000,223.4,prioritized_replay_double_dqn
0,8000,240.9,prioritized_replay_double_dqn
0,9000,241.3,prioritized_replay_double_dqn
0,10000,267.1,prioritized_replay_double_dqn
0,11000,278.4,prioritized_replay_double_dqn
0,12000,299.6,prioritized_replay_double_dqn
0,13000,337.8,prioritized_replay_double_dqn
0,14000,336.4,prioritized_replay_double_dqn
0,15000,342.0,prioritized_replay_double_dqn
0,16000,322.6,prioritized_replay_double_dqn
0,17000,321.3,prioritized_replay_double_dqn
0,18000,196.5,prioritized_replay_double_dqn
0,19000,155.9,prioritized_replay_double_dqn
0,20000,144.0,prioritized_replay_double_dqn
1,1000,11.9,prioritized_replay_double_dqn
1,2000,12.4,prioritized_replay_double_dqn
1,3000,17.5,prioritized_replay_double_dqn
1,4000,87.1,prioritized_replay_double_dqn
1,5000,149.7,prioritized_replay_double_dqn
1,6000,202.2,prioritized_replay_double_dqn
1,7000,193.8,prioritized_replay_double_dqn
1,8000,195.7,prioritized_replay_double_dqn
1,9000,226.4,prioritized_replay_double_dqn
1,10000,245.2,prioritized_replay_double_dqn
1,11000,244.6,prioritized_replay_double_dqn
1,12000,255.3,prioritized_replay_double_dqn
1,13000,271.4,prioritized_replay_double_dqn
1,14000,257.8,prioritized_replay_double_dqn
1,15000,267.5,prioritized_replay_double_dqn
1,16000,255.4,prioritized_replay_double_dqn
1,17000,260.0,prioritized_replay_double_dqn
1,18000,232.8,prioritized_replay_double_dqn
1,19000,225.3,prioritized_replay_double_dqn
1,20000,202.8,prioritized_replay_double_dqn
2,1000,17.3,prioritized_replay_double_dqn
2,2000,13.2,prioritized_replay_double_dqn
2,3000,23.4,prioritized_replay_double_dqn
2,4000,65.7,prioritized_replay_double_dqn
2,5000,131.6,prioritized_replay_double_dqn
2,6000,179.4,prioritized_replay_double_dqn
2,7000,192.5,prioritized_replay_double_dqn
2,8000,252.9,prioritized_replay_double_dqn
2,9000,275.1,prioritized_replay_double_dqn
2,10000,302.1,prioritized_replay_double_dqn
2,11000,286.3,prioritized_replay_double_dqn
2,12000,245.7,prioritized_replay_double_dqn
2,13000,210.7,prioritized_replay_double_dqn
2,14000,190.8,prioritized_replay_double_dqn
2,15000,156.3,prioritized_replay_double_dqn
2,16000,146.0,prioritized_replay_double_dqn
2,17000,130.1,prioritized_replay_double_dqn
2,18000,135.3,prioritized_replay_double_dqn
2,19000,133.6,prioritized_replay_double_dqn
2,20000,104.3,prioritized_replay_double_dqn
3,1000,52.9,prioritized_replay_double_dqn
3,2000,26.4,prioritized_replay_double_dqn
3,3000,67.0,prioritized_replay_double_dqn
3,4000,112.7,prioritized_replay_double_dqn
3,5000,98.7,prioritized_replay_double_dqn
3,6000,164.0,prioritized_replay_double_dqn
3,7000,239.5,prioritized_replay_double_dqn
3,8000,262.4,prioritized_replay_double_dqn
3,9000,243.2,prioritized_replay_double_dqn
3,10000,172.8,prioritized_replay_double_dqn
3,11000,145.0,prioritized_replay_double_dqn
3,12000,134.4,prioritized_replay_double_dqn
3,13000,127.3,prioritized_replay_double_dqn
3,14000,134.9,prioritized_replay_double_dqn
3,15000,149.1,prioritized_replay_double_dqn
3,16000,170.7,prioritized_replay_double_dqn
3,17000,176.7,prioritized_replay_double_dqn
3,18000,165.0,prioritized_replay_double_dqn
3,19000,160.8,prioritized_replay_double_dqn
3,20000,151.8,prioritized_replay_double_dqn
4,1000,11.7,prioritized_replay_double_dqn
4,2000,10.4,prioritized_replay_double_dqn
4,3000,12.3,prioritized_replay_double_dqn
4,4000,72.7,prioritized_replay_double_dqn
4,5000,125.3,prioritized_replay_double_dqn
4,6000,186.5,prioritized_replay_double_dqn
4,7000,199.3,prioritized_replay_double_dqn
4,8000,234.7,prioritized_replay_double_dqn
4,9000,247.4,prioritized_replay_double_dqn
4,10000,270.2,prioritized_replay_double_dqn
4,11000,248.3,prioritized_replay_double_dqn
4,12000,254.0,prioritized_replay_double_dqn
4,13000,266.2,prioritized_replay_double_dqn
4,14000,275.4,prioritized_replay_double_dqn
4,15000,272.4,prioritized_replay_double_dqn
4,16000,247.3,prioritized_replay_double_dqn
4,17000,247.7,prioritized_replay_double_dqn
4,18000,260.9,prioritized_replay_double_dqn
4,19000,252.2,prioritized_replay_double_dqn
4,20000,212.6,prioritized_replay_double_dqn
