seed,frames,mean_reward_10,config
0,1000,9.9,prioritized_replay
0,2000,12.4,prioritized_replay
0,3000,27.0,prioritized_replay
0,4000,56.9,prioritized_replay
0,5000,110.8,prioritized_replay
0,6000,198.2,prioritized_replay
0,7000,225.7,prioritized_replay
0,8000,242.6,prioritized_replay
0,9000,246.6,prioritized_replay
0,10000,239.5,prioritized_replay
0,11000,242.0,prioritized_replay
0,12000,230.8,prioritized_replay
0,13000,159.7,prioritized_replay
0,14000,126.7,prioritized_replay
0,15000,129.1,prioritized_replay
0,16000,143.0,prioritized_replay
0,17000,170.1,prioritized_replay
0,18000,198.0,prioritized_replay
0,19000,227.7,prioritized_replay
0,20000,278.8,prioritized_replay
1,1000,11.1,prioritized_replay
1,2000,11.1,prioritized_replay
1,3000,15.6,prioritized_replay
1,4000,17.9,prioritized_replay
1,5000,32.2,prioritized_replay
1,6000,112.6,prioritized_replay
1,7000,192.7,prioritized_replay
1,8000,223.1,prioritized_replay
1,9000,245.1,prioritized_replay
1,10000,232.1,prioritized_replay
1,11000,234.1,prioritized_replay
1,12000,258.9,prioritized_replay
1,13000,252.8,prioritized_replay
1,14000,261.5,prioritized_replay
1,15000,247.9,prioritized_replay
1,16000,230.6,prioritized_replay
1,17000,197.8,prioritized_replay
1,18000,177.5,prioritized_replay
1,19000,174.2,prioritized_replay
1,20000,168.6,prioritized_replay
2,1000,10.1,prioritized_replay
2,2000,10.0,prioritized_replay
2,3000,24.8,prioritized_replay
2,4000,22.8,prioritized_replay
2,5000,87.6,prioritized_replay
2,6000,130.5,prioritized_replay
2,7000,156.8,prioritized_replay
2,8000,184.2,prioritized_replay
2,9000,186.6,prioritized_replay
2,10000,194.6,prioritized_replay
2,11000,201.4,prioritized_replay
2,12000,194.5,prioritized_replay
2,13000,189.2,prioritized_replay
2,14000,194.3,prioritized_replay
2,15000,228.9,prioritized_replay
2,16000,211.8,prioritized_replay
2,17000,180.9,prioritized_replay
2,18000,202.4,prioritized_replay
2,19000,236.9,prioritized_replay
2,20000,265.5,prioritized_replay
3,1000,20.0,prioritized_replay
3,2000,18.3,prioritized_replay
3,3000,24.8,prioritized_replay
3,4000,68.2,prioritized_replay
3,5000,126.4,prioritized_replay
3,6000,193.9,prioritized_replay
3,7000,255.6,prioritized_replay
3,8000,285.1,prioritized_replay
3,9000,293.8,prioritized_replay
3,10000,266.1,prioritized_replay
3,11000,185.9,prioritized_replay
3,12000,121.8,prioritized_replay
3,13000,110.0,prioritized_replay
3,14000,113.5,prioritized_replay
3,15000,117.4,prioritized_replay
3,16000,131.9,prioritized_replay
3,17000,145.4,prioritized_replay
3,18000,184.6,prioritized_replay
3,19000,205.6,prioritized_replay
3,20000,180.4,prioritized_replay
4,1000,9.5,prioritized_replay
4,2000,9.8,prioritized_replay
4,3000,17.6,prioritized_replay
4,4000,66.1,prioritized_replay
4,5000,128.1,prioritized_replay
4,6000,222.9,prioritized_replay
4,7000,299.4,prioritized_replay
4,8000,374.3,prioritized_replay
4,9000,408.0,prioritized_replay
4,10000,350.5,prioritized_replay
4,11000,319.1,prioritized_replay
4,12000,313.0,prioritized_replay
4,13000,339.1,prioritized_replay
4,14000,338.8,prioritized_replay
4,15000,345.0,prioritized_replay
4,16000,329.8,prioritized_replay
4,17000,293.4,prioritized_replay
4,18000,267.4,prioritized_replay
4,19000,248.4,prioritized_replay
4,20000,250.0,prioritized_replay
