level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l2,ActorCritic,actor_critic_gae,LunarLander-v3,0,1000,11,-244.23523801484768,-177.52994162940564,-189.15104498564793,317.92917245942,0.01858040876686573,1959.47314453125,,,,,
l2,ActorCritic,actor_critic_gae,LunarLander-v3,0,2000,23,-390.86727090621474,-198.6825799530025,-454.9048215985661,85.23980408385282,0.05000992491841316,4409.23828125,,,,,
l2,ActorCritic,actor_critic_gae,LunarLander-v3,0,3000,33,-5.773255867860669,-157.0789370594306,-300.91379957750684,202.60389327433276,-5.6157628023356665e-06,1255.5625,,,,,
l2,ActorCritic,actor_critic_gae,LunarLander-v3,1,1000,11,-162.94607159282396,-122.9940528452521,-623.60309304577,353.4806443769244,-0.014281361363828182,941.1860961914062,,,,,
l2,ActorCritic,actor_critic_gae,LunarLander-v3,1,2000,21,-388.04521496979953,-197.43356421705212,-819.6995792672815,546.1815948299537,0.007094204891473055,4212.4365234375,,,,,
l2,ActorCritic,actor_critic_gae,LunarLander-v3,1,3000,30,-212.61798718301844,-191.74100895209668,-150.87525350505243,123.62760603935538,0.0007592784822918475,976.89306640625,,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,0,1000,10,-119.23833908465977,-116.90931667864844,-585.5694348937549,194.63314735967026,-0.034840114414691925,313.9639587402344,-1.3706398010253906,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,0,2000,20,-297.89332102479705,-182.86578018752462,-896.7791484988685,602.740884468464,-0.3027500808238983,430.81011962890625,-1.3444889783859253,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,0,3000,30,-209.42339306156632,-288.0050947734362,-775.1799978899188,32.51271097183066,-0.07399272918701172,640.8137817382812,-1.341641902923584,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,1,1000,10,-257.0112333913238,-188.64985669885047,-623.60309304577,353.4806443769244,0.17945241928100586,1470.0638427734375,-1.3794351816177368,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,1,2000,19,-92.48123186048007,-194.71182311898664,-819.6995792672815,546.1815948299537,-0.03918226435780525,210.70999145507812,-1.3738096952438354,,,,
l2,PPO,ppo_vanilla,LunarLander-v3,1,3000,29,-300.86053689855396,-238.42067759187708,-568.655126947237,103.8884412895138,-0.2877579629421234,631.1932983398438,-1.3779776096343994,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,0,1000,10,-119.23833908465977,-116.90931667864844,-585.5694348937549,194.63314735967026,-0.034822728484869,314.0916748046875,-1.3706408739089966,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,0,2000,20,-297.89332102479705,-182.86578018752462,-896.7791484988685,602.740884468464,-0.30250585079193115,464.1220397949219,-1.3445236682891846,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,0,3000,30,-209.42339306156632,-287.73489058107606,-775.1799978899188,32.51271097183066,-0.08176829665899277,737.4954223632812,-1.3410356044769287,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,1,1000,10,-257.0112333913238,-188.64985669885047,-623.60309304577,353.4806443769244,0.17947380244731903,1477.625732421875,-1.3794349431991577,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,1,2000,19,-92.48123186048007,-194.71182311898664,-819.6995792672815,546.1815948299537,-0.0382879264652729,218.285888671875,-1.3738305568695068,,,,
l2,PPO,ppo_enhanced,LunarLander-v3,1,3000,29,-144.69477670639924,-224.58742992457056,-568.655126947237,103.8884412895138,0.4377322196960449,719.9421997070312,-1.3681882619857788,,,,
